WEO Country Code,ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,Estimates Start After
921,MDA,Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.19 ,6.50 ,7.01 ,7.57 ,8.24 ,2014
948,MNG,Mongolia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.41 ,12.96 ,13.70 ,14.82 ,16.07 ,2014
943,MNE,Montenegro,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.99 ,4.25 ,4.48 ,4.74 ,4.93 ,2014
686,MAR,Morocco,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",103.08 ,109.91 ,117.55 ,126.15 ,135.99 ,2014
688,MOZ,Mozambique,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.99 ,19.04 ,21.24 ,23.74 ,26.50 ,2014
518,MMR,Myanmar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",65.78 ,71.28 ,79.05 ,87.47 ,96.41 ,2014
728,NAM,Namibia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.86 ,13.70 ,14.92 ,16.22 ,17.37 ,2014
558,NPL,Nepal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.36 ,24.07 ,26.39 ,28.56 ,30.27 ,2014
138,NLD,Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",750.78 ,782.93 ,818.49 ,855.64 ,893.29 ,2014
196,NZL,New Zealand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",170.59 ,165.48 ,172.12 ,179.02 ,185.93 ,2014
278,NIC,Nicaragua,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.32 ,13.09 ,13.87 ,14.70 ,15.58 ,2014
692,NER,Niger,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.12 ,7.65 ,8.48 ,9.38 ,10.27 ,2013
694,NGA,Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",492.99 ,484.90 ,508.53 ,534.72 ,565.23 ,2014
142,NOR,Norway,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",397.59 ,394.78 ,415.19 ,436.47 ,453.44 ,2014
449,OMN,Oman,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.18 ,60.63 ,65.16 ,69.11 ,72.12 ,2012
564,PAK,Pakistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",270.96 ,n/a,n/a,n/a,n/a,2015
565,PLW,Palau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.26 ,0.27 ,0.29 ,0.30 ,0.31 ,2014
283,PAN,Panama,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",47.47 ,51.53 ,56.03 ,61.15 ,66.30 ,2014
853,PNG,Papua New Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",18.00 ,18.19 ,18.92 ,19.86 ,21.04 ,2013
288,PRY,Paraguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",29.07 ,30.09 ,31.44 ,32.84 ,34.24 ,2014
293,PER,Peru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",179.91 ,180.38 ,193.59 ,207.92 ,221.31 ,2014
566,PHL,Philippines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",299.31 ,330.23 ,366.75 ,407.94 ,454.80 ,2014
964,POL,Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",481.24 ,508.86 ,540.19 ,577.06 ,617.51 ,2014
182,PRT,Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",197.51 ,204.19 ,212.02 ,219.86 ,227.45 ,2014
453,QAT,Qatar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",192.08 ,192.21 ,212.12 ,232.67 ,251.13 ,2014
968,ROU,Romania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",174.92 ,183.37 ,196.79 ,211.09 ,225.12 ,2014
922,RUS,Russia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1235.86 ,1178.92 ,1309.27 ,1447.26 ,1613.84 ,2014
714,RWA,Rwanda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.47 ,9.23 ,10.09 ,11.11 ,12.13 ,2014
862,WSM,Samoa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.87 ,0.90 ,0.91 ,0.94 ,0.98 ,2014
135,SMR,San Marino,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.54 ,1.58 ,1.63 ,1.70 ,1.77 ,2013
716,STP,S鉶 Tom?and Pr韓cipe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.33 ,0.36 ,0.38 ,0.41 ,0.45 ,2012
456,SAU,Saudi Arabia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",632.07 ,643.23 ,694.52 ,749.20 ,799.75 ,2014
722,SEN,Senegal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.99 ,15.20 ,16.74 ,18.50 ,20.46 ,2013
942,SRB,Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",36.56 ,37.74 ,39.80 ,42.95 ,46.26 ,2014
